state	yr	qtr	index_nsa	index_sa	note
AK	2020	4	288.01	291.02	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2021	1	296.48	300.90	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2021	2	306.87	303.03	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2021	3	317.31	313.49	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2021	4	320.64	324.08	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2022	1	324.72	330.17	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2022	2	347.73	343.25	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2022	3	352.48	347.68	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2022	4	343.58	347.45	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2023	1	336.85	342.81	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2023	2	359.61	354.97	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2023	3	365.00	359.77	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2023	4	345.98	349.91	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AL	1991	1	100.00	100.00	
AL	1991	2	101.51	101.37	
AL	1991	3	102.37	101.85	
AL	1991	4	103.22	102.73	
AL	1992	1	104.02	104.02	
AL	1992	2	104.78	104.60	
AL	1992	3	106.42	105.91	
AL	1992	4	107.72	107.23	
AL	1993	1	107.70	107.70	
AL	1993	2	109.10	108.85	
AL	1993	3	111.13	110.62	
AL	1993	4	112.30	111.83	
AL	1994	1	113.47	113.47	
AL	1994	2	114.89	114.54	
AL	1994	3	116.38	115.86	
AL	1994	4	117.38	116.98	
AL	1995	1	118.34	118.35	
AL	1995	2	120.13	119.66	
AL	1995	3	120.92	120.39	
AL	1995	4	122.77	122.43	
AL	1996	1	122.80	122.79	
AL	1996	2	125.47	124.89	
AL	1996	3	126.04	125.52	
AL	1996	4	125.87	125.59	
AL	1997	1	127.56	127.53	
AL	1997	2	128.88	128.25	
AL	1997	3	129.69	129.16	
AL	1997	4	129.59	129.34	
AL	1998	1	130.18	130.09	
AL	1998	2	132.54	131.93	
AL	1998	3	134.07	133.52	
AL	1998	4	135.77	135.54	
AL	1999	1	136.60	136.43	
AL	1999	2	137.89	137.31	
AL	1999	3	139.00	138.43	
AL	1999	4	139.86	139.65	
AL	2000	1	141.24	140.97	
AL	2000	2	142.11	141.56	
AL	2000	3	143.24	142.65	
AL	2000	4	143.41	143.25	
AL	2001	1	144.28	143.90	
AL	2001	2	145.06	144.54	
AL	2001	3	145.59	144.98	
AL	2001	4	145.99	145.92	
AL	2002	1	146.39	145.89	
AL	2002	2	147.59	147.09	
AL	2002	3	148.43	147.80	
AL	2002	4	149.05	149.05	
AL	2003	1	151.28	150.69	
AL	2003	2	151.96	151.45	
AL	2003	3	153.53	152.89	
AL	2003	4	153.70	153.72	
AL	2004	1	156.92	156.33	
AL	2004	2	157.50	156.97	
AL	2004	3	160.01	159.31	
AL	2004	4	161.57	161.52	
AL	2005	1	166.89	166.44	
AL	2005	2	169.01	168.41	
AL	2005	3	171.99	171.13	
AL	2005	4	175.34	175.14	
AL	2006	1	179.02	178.89	
AL	2006	2	181.04	180.34	
AL	2006	3	182.33	181.28	
AL	2006	4	183.31	182.86	
AL	2007	1	182.91	183.28	
AL	2007	2	184.34	183.46	
AL	2007	3	184.74	183.62	
AL	2007	4	181.77	181.05	
AL	2008	1	178.52	179.33	
AL	2008	2	179.27	178.29	
AL	2008	3	177.22	176.10	
AL	2008	4	172.75	171.92	
AL	2009	1	167.09	168.08	
AL	2009	2	167.57	166.56	
AL	2009	3	167.29	166.26	
AL	2009	4	166.41	165.54	
AL	2010	1	160.20	161.14	
AL	2010	2	160.43	159.51	
AL	2010	3	155.59	154.65	
AL	2010	4	153.72	152.99	
AL	2011	1	150.71	151.40	
AL	2011	2	150.76	149.96	
AL	2011	3	149.54	148.68	
AL	2011	4	146.81	146.22	
AL	2012	1	148.57	149.02	
AL	2012	2	147.29	146.61	
AL	2012	3	148.46	147.56	
AL	2012	4	150.62	150.23	
AL	2013	1	150.54	150.75	
AL	2013	2	151.47	150.81	
AL	2013	3	153.40	152.47	
AL	2013	4	152.14	151.91	
AL	2014	1	153.88	153.96	
AL	2014	2	155.01	154.33	
AL	2014	3	156.72	155.74	
AL	2014	4	157.38	157.29	
AL	2015	1	157.55	157.57	
AL	2015	2	159.98	159.16	
AL	2015	3	160.46	159.51	
AL	2015	4	159.94	159.88	
AL	2016	1	161.42	161.51	
AL	2016	2	163.86	162.90	
AL	2016	3	164.45	163.51	
AL	2016	4	165.34	165.29	
AL	2017	1	167.09	167.25	
AL	2017	2	169.34	168.25	
AL	2017	3	170.85	169.94	
AL	2017	4	170.70	170.55	
AL	2018	1	173.83	174.13	
AL	2018	2	176.57	175.38	
AL	2018	3	178.17	177.18	
AL	2018	4	179.46	179.25	
AL	2019	1	180.42	180.86	
AL	2019	2	184.70	183.43	
AL	2019	3	186.63	185.52	
AL	2019	4	188.17	187.94	
AL	2020	1	190.00	190.60	
AL	2020	2	194.95	193.57	
AL	2020	3	200.24	198.90	
AL	2020	4	205.95	205.85	
AL	2021	1	210.80	211.52	
AL	2021	2	221.11	219.47	
AL	2021	3	228.53	226.82	
AL	2021	4	234.71	234.84	
AL	2022	1	239.62	240.45	
AL	2022	2	251.66	249.72	
AL	2022	3	254.37	252.28	
AL	2022	4	254.52	254.96	
AL	2023	1	258.34	259.18	
AL	2023	2	263.69	261.58	
AL	2023	3	267.22	264.87	
AL	2023	4	266.23	266.95	
AR	1991	1	100.00	100.00	
AR	1991	2	101.69	102.62	
AR	1991	3	102.36	103.59	
AR	1991	4	104.14	105.56	
AR	1992	1	105.69	105.66	
AR	1992	2	106.05	107.05	
AR	1992	3	107.59	108.87	
AR	1992	4	109.21	110.72	
AR	1993	1	112.57	112.50	
AR	1993	2	112.75	113.88	
AR	1993	3	114.17	115.47	
AR	1993	4	115.51	117.12	
AR	1994	1	120.16	120.07	
AR	1994	2	120.12	121.37	
AR	1994	3	122.00	123.34	
AR	1994	4	121.95	123.65	
AR	1995	1	127.51	127.44	
AR	1995	2	127.28	128.64	
AR	1995	3	128.73	130.11	
AR	1995	4	129.75	131.50	
AR	1996	1	132.78	132.82	
AR	1996	2	132.63	134.00	
AR	1996	3	134.54	136.00	
AR	1996	4	135.37	137.08	
AR	1997	1	137.03	137.22	
AR	1997	2	137.56	138.92	
AR	1997	3	137.99	139.52	
AR	1997	4	138.91	140.54	
AR	1998	1	141.63	141.97	
AR	1998	2	142.07	143.41	
AR	1998	3	143.13	144.77	
AR	1998	4	144.96	146.59	
AR	1999	1	147.09	147.51	
AR	1999	2	147.66	148.99	
AR	1999	3	148.81	150.53	
AR	1999	4	150.37	152.06	
AR	2000	1	152.62	153.06	
AR	2000	2	153.46	154.81	
AR	2000	3	154.03	155.81	
AR	2000	4	155.42	157.22	
AR	2001	1	158.46	158.91	
AR	2001	2	158.67	160.07	
AR	2001	3	159.93	161.71	
AR	2001	4	161.46	163.42	
AR	2002	1	164.10	164.54	
AR	2002	2	164.35	165.82	
AR	2002	3	165.47	167.20	
AR	2002	4	166.82	168.91	
AR	2003	1	171.93	172.43	
AR	2003	2	172.02	173.61	
AR	2003	3	173.19	174.87	
AR	2003	4	174.06	176.22	
AR	2004	1	180.49	181.16	
AR	2004	2	182.31	184.00	
AR	2004	3	186.54	188.22	
AR	2004	4	188.77	191.01	
AR	2005	1	193.40	194.39	
AR	2005	2	195.65	197.44	
AR	2005	3	199.36	200.98	
AR	2005	4	202.39	204.72	
AR	2006	1	206.89	208.23	
AR	2006	2	208.86	210.71	
AR	2006	3	211.63	213.23	
AR	2006	4	213.21	215.61	
AR	2007	1	213.69	215.31	
AR	2007	2	214.86	216.68	
AR	2007	3	214.65	216.17	
AR	2007	4	214.51	216.94	
AR	2008	1	210.96	212.67	
AR	2008	2	210.80	212.50	
AR	2008	3	209.30	210.76	
AR	2008	4	204.82	207.22	
AR	2009	1	205.10	206.74	
AR	2009	2	203.88	205.51	
AR	2009	3	204.44	205.81	
AR	2009	4	204.47	206.99	
AR	2010	1	204.92	206.46	
AR	2010	2	204.97	206.64	
AR	2010	3	200.53	201.82	
AR	2010	4	199.00	201.54	
AR	2011	1	198.90	200.34	
AR	2011	2	198.10	199.74	
AR	2011	3	199.13	200.36	
AR	2011	4	198.77	201.34	
AR	2012	1	202.24	203.76	
AR	2012	2	202.35	204.02	
AR	2012	3	204.41	205.58	
AR	2012	4	204.50	207.16	
AR	2013	1	205.65	207.32	
AR	2013	2	205.76	207.40	
AR	2013	3	206.70	207.77	
AR	2013	4	202.60	205.25	
AR	2014	1	203.94	205.76	
AR	2014	2	204.95	206.51	
AR	2014	3	206.43	207.39	
AR	2014	4	206.01	208.73	
AR	2015	1	208.18	210.19	
AR	2015	2	210.46	211.98	
AR	2015	3	212.13	213.07	
AR	2015	4	211.15	213.92	
AR	2016	1	213.21	215.36	
AR	2016	2	216.39	217.96	
AR	2016	3	218.66	219.57	
AR	2016	4	218.92	221.77	
AR	2017	1	221.02	223.26	
AR	2017	2	223.48	225.19	
AR	2017	3	226.70	227.61	
AR	2017	4	226.30	229.12	
AR	2018	1	229.86	232.24	
AR	2018	2	232.06	233.99	
AR	2018	3	234.31	235.15	
AR	2018	4	234.79	237.57	
AR	2019	1	239.18	241.83	
AR	2019	2	240.75	242.84	
AR	2019	3	245.21	245.96	
AR	2019	4	246.02	248.75	
AR	2020	1	249.44	252.55	
AR	2020	2	253.95	256.13	
AR	2020	3	261.96	262.56	
AR	2020	4	269.40	272.25	
AR	2021	1	276.79	280.71	
AR	2021	2	289.05	291.34	
AR	2021	3	303.34	303.86	
AR	2021	4	312.22	315.42	
AR	2022	1	320.41	325.49	
AR	2022	2	332.84	335.20	
AR	2022	3	340.79	341.17	
AR	2022	4	341.94	345.47	
AR	2023	1	343.32	349.17	
AR	2023	2	355.74	357.97	
AR	2023	3	359.46	359.75	
AR	2023	4	360.58	364.35	
AZ	1991	1	100.00	100.00	
AZ	1991	2	99.90	99.77	
AZ	1991	3	100.49	100.00	
AZ	1991	4	100.91	100.71	
AZ	1992	1	100.91	100.92	
AZ	1992	2	101.32	101.17	
AZ	1992	3	102.62	102.13	
AZ	1992	4	103.02	102.85	
AZ	1993	1	103.96	103.97	
AZ	1993	2	105.61	105.42	
AZ	1993	3	107.30	106.79	
AZ	1993	4	108.90	108.77	
AZ	1994	1	109.72	109.71	
AZ	1994	2	112.25	111.99	
AZ	1994	3	114.40	113.88	
AZ	1994	4	115.97	115.88	
AZ	1995	1	117.57	117.55	
AZ	1995	2	119.50	119.17	
AZ	1995	3	120.90	120.37	
AZ	1995	4	121.91	121.86	
AZ	1996	1	124.12	124.08	
AZ	1996	2	125.60	125.20	
AZ	1996	3	127.29	126.78	
AZ	1996	4	128.04	127.98	
AZ	1997	1	129.74	129.69	
AZ	1997	2	131.44	131.00	
AZ	1997	3	133.31	132.80	
AZ	1997	4	134.50	134.42	
AZ	1998	1	136.08	136.05	
AZ	1998	2	138.56	138.08	
AZ	1998	3	140.31	139.80	
AZ	1998	4	142.24	142.10	
AZ	1999	1	144.31	144.34	
AZ	1999	2	147.37	146.84	
AZ	1999	3	150.08	149.54	
AZ	1999	4	152.82	152.62	
AZ	2000	1	155.25	155.36	
AZ	2000	2	158.39	157.81	
AZ	2000	3	160.38	159.77	
AZ	2000	4	162.05	161.79	
AZ	2001	1	164.25	164.47	
AZ	2001	2	167.28	166.66	
AZ	2001	3	169.89	169.18	
AZ	2001	4	172.08	171.77	
AZ	2002	1	173.17	173.52	
AZ	2002	2	176.81	176.16	
AZ	2002	3	179.73	178.86	
AZ	2002	4	181.99	181.62	
AZ	2003	1	184.56	185.12	
AZ	2003	2	188.79	188.07	
AZ	2003	3	192.74	191.66	
AZ	2003	4	197.29	196.87	
AZ	2004	1	202.04	202.87	
AZ	2004	2	210.58	209.75	
AZ	2004	3	221.05	219.61	
AZ	2004	4	234.60	234.07	
AZ	2005	1	251.51	252.86	
AZ	2005	2	277.81	276.73	
AZ	2005	3	303.44	301.09	
AZ	2005	4	315.53	314.71	
AZ	2006	1	321.96	324.20	
AZ	2006	2	329.61	328.50	
AZ	2006	3	328.29	325.22	
AZ	2006	4	324.30	323.22	
AZ	2007	1	317.82	320.64	
AZ	2007	2	311.20	310.21	
AZ	2007	3	298.96	295.82	
AZ	2007	4	280.38	279.30	
AZ	2008	1	259.24	261.88	
AZ	2008	2	243.91	243.12	
AZ	2008	3	225.59	223.12	
AZ	2008	4	201.75	200.93	
AZ	2009	1	178.07	180.01	
AZ	2009	2	172.35	171.65	
AZ	2009	3	174.70	172.84	
AZ	2009	4	174.54	173.91	
AZ	2010	1	169.01	170.80	
AZ	2010	2	169.32	168.48	
AZ	2010	3	162.97	161.38	
AZ	2010	4	156.77	156.33	
AZ	2011	1	152.37	153.84	
AZ	2011	2	152.39	151.44	
AZ	2011	3	152.90	151.61	
AZ	2011	4	156.27	156.05	
AZ	2012	1	162.14	163.37	
AZ	2012	2	173.99	172.82	
AZ	2012	3	182.10	180.79	
AZ	2012	4	188.69	188.64	
AZ	2013	1	195.93	197.05	
AZ	2013	2	205.83	204.43	
AZ	2013	3	212.55	211.18	
AZ	2013	4	216.43	216.54	
AZ	2014	1	219.00	219.86	
AZ	2014	2	223.24	221.88	
AZ	2014	3	225.83	224.47	
AZ	2014	4	227.00	227.16	
AZ	2015	1	230.09	230.71	
AZ	2015	2	235.73	234.46	
AZ	2015	3	240.32	238.98	
AZ	2015	4	243.14	243.32	
AZ	2016	1	246.08	246.46	
AZ	2016	2	251.71	250.51	
AZ	2016	3	256.46	255.17	
AZ	2016	4	259.04	259.19	
AZ	2017	1	264.41	264.59	
AZ	2017	2	270.77	269.61	
AZ	2017	3	275.11	273.75	
AZ	2017	4	279.20	279.37	
AZ	2018	1	285.41	285.66	
AZ	2018	2	291.20	289.89	
AZ	2018	3	296.50	294.82	
AZ	2018	4	301.48	301.88	
AZ	2019	1	305.88	306.45	
AZ	2019	2	311.82	310.17	
AZ	2019	3	317.69	315.41	
AZ	2019	4	322.90	323.67	
AZ	2020	1	331.31	332.59	
AZ	2020	2	339.82	337.56	
AZ	2020	3	354.78	351.47	
AZ	2020	4	371.17	372.60	
AZ	2021	1	393.64	396.02	
AZ	2021	2	432.77	429.32	
AZ	2021	3	463.98	458.71	
AZ	2021	4	471.68	474.00	
AZ	2022	1	490.02	494.12	
AZ	2022	2	526.02	521.12	
AZ	2022	3	516.49	509.77	
AZ	2022	4	500.55	503.52	
AZ	2023	1	496.58	501.48	
AZ	2023	2	510.33	505.10	
AZ	2023	3	524.74	517.52	
AZ	2023	4	526.40	529.72	
CA	1991	1	100.00	100.00	
CA	1991	2	100.62	99.92	
CA	1991	3	101.24	100.16	
CA	1991	4	100.98	100.35	
CA	1992	1	99.77	99.78	
CA	1992	2	99.21	98.51	
CA	1992	3	98.56	97.50	
CA	1992	4	96.77	96.20	
CA	1993	1	94.69	94.71	
CA	1993	2	94.10	93.41	
CA	1993	3	92.92	91.88	
CA	1993	4	91.87	91.38	
CA	1994	1	90.65	90.67	
CA	1994	2	91.40	90.69	
CA	1994	3	91.33	90.30	
CA	1994	4	90.26	89.83	
CA	1995	1	89.57	89.59	
CA	1995	2	89.81	89.06	
CA	1995	3	89.81	88.80	
CA	1995	4	88.69	88.30	
CA	1996	1	88.48	88.52	
CA	1996	2	89.14	88.33	
CA	1996	3	89.68	88.71	
CA	1996	4	89.17	88.80	
CA	1997	1	89.10	89.15	
CA	1997	2	90.68	89.80	
CA	1997	3	91.89	90.93	
CA	1997	4	93.14	92.74	
CA	1998	1	94.54	94.61	
CA	1998	2	97.65	96.64	
CA	1998	3	99.66	98.66	
CA	1998	4	101.46	101.02	
CA	1999	1	103.23	103.35	
CA	1999	2	107.23	106.08	
CA	1999	3	109.45	108.36	
CA	1999	4	112.00	111.50	
CA	2000	1	115.08	115.26	
CA	2000	2	120.85	119.55	
CA	2000	3	124.98	123.68	
CA	2000	4	128.83	128.27	
CA	2001	1	131.98	132.23	
CA	2001	2	135.81	134.37	
CA	2001	3	138.74	137.19	
CA	2001	4	140.37	139.77	
CA	2002	1	144.64	144.96	
CA	2002	2	152.86	151.31	
CA	2002	3	159.82	157.89	
CA	2002	4	164.85	164.18	
CA	2003	1	169.39	169.79	
CA	2003	2	177.77	176.07	
CA	2003	3	186.54	184.16	
CA	2003	4	195.25	194.44	
CA	2004	1	205.98	206.50	
CA	2004	2	222.41	220.41	
CA	2004	3	236.65	233.51	
CA	2004	4	246.22	245.09	
CA	2005	1	257.55	258.33	
CA	2005	2	272.62	270.33	
CA	2005	3	285.27	281.36	
CA	2005	4	290.93	289.31	
CA	2006	1	293.48	294.61	
CA	2006	2	296.11	293.88	
CA	2006	3	293.81	289.57	
CA	2006	4	287.91	285.97	
CA	2007	1	279.82	281.26	
CA	2007	2	270.44	268.52	
CA	2007	3	257.05	253.23	
CA	2007	4	235.43	233.58	
CA	2008	1	211.43	212.77	
CA	2008	2	196.69	195.32	
CA	2008	3	183.30	180.51	
CA	2008	4	169.26	167.83	
CA	2009	1	156.96	158.14	
CA	2009	2	155.02	153.83	
CA	2009	3	157.92	155.52	
